City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,baraboo,43.4711,-89.7443,279.81,57,0,7.2,US,1669998120
235,flin flon,54.7682,-101.865,245.06,69,20,2.06,CA,1669998120
236,kiruna,67.8557,20.2251,268.66,100,100,0.51,SE,1669998121
237,yishui,35.7847,118.6281,270.87,47,71,1.64,CN,1669998121
238,yangcun,39.3639,117.0603,269.14,35,25,2.58,CN,1669998122
239,pevek,69.7008,170.3133,255.36,96,100,3.05,RU,1669998122
240,obo,5.3998,26.4869,298.9,58,80,2.22,CF,1669998123
241,yulara,-25.2406,130.9889,299.58,26,94,2.57,AU,1669998123
242,lorengau,-2.0226,147.2712,300.1,81,100,1.95,PG,1669998124
243,ilebo,-4.3167,20.5833,298.72,90,89,0.37,CD,1669998124
244,pangnirtung,66.1451,-65.7125,267.15,68,100,10.29,CA,1669998125
245,hibbing,47.4272,-92.9377,272.81,47,100,1.54,US,1669998112
246,port hedland,-20.3167,118.5667,299.18,83,0,5.14,AU,1669998126
247,reforma,18.1,-91.0167,299.25,78,33,3.12,MX,1669998126
248,avera,33.194,-82.5271,286.88,54,16,3.12,US,1669998127
249,ostrovnoy,68.0531,39.5131,269.96,95,99,1.44,RU,1669998071
250,xichang,27.8964,102.2634,282.65,70,0,0.69,CN,1669998128
251,nanortalik,60.1432,-45.2371,276.23,68,100,10.5,GL,1669998128
252,faya,18.3851,42.4509,289.21,68,20,1.84,SA,1669998129
253,diepholz,52.6,8.3667,275.31,82,100,5.98,DE,1669998129
254,evensk,61.95,159.2333,264.66,85,100,1.16,RU,1669998130
255,port moresby,-9.4431,147.1797,297.83,94,40,2.57,PG,1669998130
256,oskemen,49.9565,82.6119,246.44,68,40,1.0,KZ,1669998131
257,wanaka,-44.7,169.15,278.77,77,32,0.45,NZ,1669998131
258,lavrentiya,65.5833,-171.0,274.12,98,100,7.24,RU,1669998132
259,ambilobe,-13.2,49.05,297.94,85,93,1.22,MG,1669998133
260,tambun,-6.2641,107.0712,301.2,76,100,1.6,ID,1669998133
261,kasungu,-13.0333,33.4833,293.33,82,82,2.93,MW,1669998134
262,marsh harbour,26.5412,-77.0636,297.37,60,91,10.5,BS,1669998134
263,pizarro,4.9533,-77.366,298.99,83,99,3.41,CO,1669998135
264,sistranda,63.7256,8.834,274.13,65,11,2.96,NO,1669998135
265,nago,26.5881,127.9761,294.62,89,100,8.61,JP,1669998136
266,inhambane,-23.865,35.3833,299.14,83,20,3.6,MZ,1669998136
267,beecher,43.09,-83.6944,278.01,52,100,5.66,US,1669998137
268,lethem,3.3803,-59.7968,302.74,63,98,4.55,GY,1669998137
269,saint-pierre,-21.3393,55.4781,298.97,69,0,5.14,RE,1669998138
270,verkhnevilyuysk,63.4453,120.3167,250.23,98,100,2.08,RU,1669998138
271,san antonio,29.4241,-98.4936,290.55,96,100,2.06,US,1669998061
272,great yarmouth,52.6083,1.7305,279.51,71,83,9.73,GB,1669998139
273,cosala,24.4125,-106.6908,299.43,29,49,0.31,MX,1669998139
274,puerto escondido,15.85,-97.0667,303.61,70,0,2.06,MX,1669998140
275,lugovoy,42.9472,72.7644,270.86,69,69,1.78,KZ,1669998141
276,la palma,33.8464,-118.0467,286.94,91,100,4.12,US,1669998141
277,maragogi,-9.0122,-35.2225,302.4,55,24,5.79,BR,1669998142
278,nizwa,22.9333,57.5333,296.2,34,0,0.94,OM,1669997961
279,kerrobert,51.9168,-109.1348,243.18,98,52,3.43,CA,1669997958
280,innisfail,-17.5333,146.0333,295.34,81,76,1.71,AU,1669997916
281,comodoro rivadavia,-45.8667,-67.5,300.07,21,100,13.89,AR,1669998143
282,suluq,31.6682,20.2521,290.22,51,99,2.79,LY,1669998143
283,pitkyaranta,61.5734,31.4792,267.31,78,100,3.53,RU,1669998144
284,kinkala,-4.3614,14.7644,298.95,83,98,0.27,CG,1669998144
285,dingle,10.9995,122.6711,297.27,94,85,3.2,PH,1669998145
286,lundamo,63.1333,10.3,270.36,78,32,2.48,NO,1669998145
287,sabaudia,41.3003,13.0282,285.81,95,100,5.8,IT,1669998146
288,naze,28.3667,129.4833,289.66,81,100,6.32,JP,1669998146
289,mana,5.6592,-53.7767,300.56,77,93,4.15,GF,1669998147
290,necochea,-38.5473,-58.7368,296.22,29,0,3.5,AR,1669998147
291,tongren,27.7172,109.1853,279.45,70,98,0.61,CN,1669998148
292,wamba,8.9333,8.6,307.4,20,76,2.43,NG,1669998148
293,port lincoln,-34.7333,135.8667,291.04,70,0,4.24,AU,1669998039
294,amurzet,47.6967,131.0981,255.46,96,100,1.16,RU,1669998149
295,birin,26.8865,88.0718,283.3,72,0,2.18,NP,1669998150
296,rio gallegos,-51.6226,-69.2181,295.18,24,40,8.75,AR,1669998150
297,sorong,-0.8833,131.25,299.98,79,91,1.6,ID,1669998151
298,husavik,66.0449,-17.3389,274.91,76,49,4.93,IS,1669998152
299,santa maria,-29.6842,-53.8069,307.15,32,100,2.69,BR,1669997327
300,kloulklubed,7.0419,134.2556,298.43,79,100,7.45,PW,1669998152
301,larsnes,62.2028,5.5773,276.49,74,83,2.59,NO,1669998153
302,san andres,12.5847,-81.7006,303.16,70,20,7.72,CO,1669998153
303,cayenne,4.9333,-52.3333,302.17,74,75,5.14,GF,1669998154
304,goure,13.9835,10.2704,304.09,13,72,3.17,NE,1669998154
305,vardo,70.3705,31.1107,275.14,93,100,2.57,NO,1669998155
306,neiafu,-18.65,-173.9833,298.53,94,20,0.0,TO,1669998155
307,hambantota,6.1241,81.1185,298.68,85,72,3.41,LK,1669998156
308,yumen,40.2833,97.2,264.07,73,100,1.37,CN,1669998156
309,marawi,7.9986,124.2928,292.96,94,83,0.87,PH,1669998157
310,filadelfia,39.9523,-75.1638,279.09,54,40,3.09,US,1669997878
311,juegang,32.3174,121.1855,282.58,66,96,1.91,CN,1669998158
312,itarema,-2.9248,-39.9167,303.91,50,19,8.6,BR,1669998158
313,rafai,4.95,23.9167,300.58,51,92,2.0,CF,1669998159
314,umm lajj,25.0213,37.2685,298.61,59,0,4.41,SA,1669998159
315,palmer,42.1584,-72.3287,278.44,56,40,1.54,US,1669997993
316,monrovia,6.3005,-10.7969,301.02,76,100,3.6,LR,1669998160
317,najran,17.4924,44.1277,294.51,30,0,3.7,SA,1669998090
318,kudahuvadhoo,2.6708,72.8944,299.65,79,47,2.37,MV,1669998161
319,port-gentil,-0.7193,8.7815,301.13,78,40,5.66,GA,1669998161
320,ust-nera,64.5667,143.2,237.97,98,97,2.4,RU,1669998162
321,asau,46.4333,26.4,272.75,98,80,0.48,RO,1669998162
322,piacabucu,-10.4056,-36.4344,302.37,58,77,6.76,BR,1669998163
323,bilma,18.6853,12.9164,299.52,14,96,2.71,NE,1669998163
324,hillsborough,37.5741,-122.3794,279.66,90,20,2.06,US,1669998163
325,enumclaw,47.2043,-121.9915,273.28,93,100,0.89,US,1669998017
326,ponta do sol,32.6667,-17.1,294.33,49,77,5.32,PT,1669998165
327,somotillo,13.0433,-86.9064,303.23,59,3,3.24,NI,1669998165
328,muros,42.7762,-9.0603,287.12,69,0,0.25,ES,1669997892
329,samarai,-10.6167,150.6667,299.42,85,100,5.78,PG,1669998166
330,trinidad,-14.8333,-64.9,301.14,65,75,5.14,BO,1669998166
331,victoria,22.2855,114.1577,291.62,77,57,4.47,HK,1669997961
332,bengkulu,-3.8004,102.2655,296.48,93,100,3.28,ID,1669998167
333,sandnessjoen,66.0217,12.6316,274.21,65,0,2.06,NO,1669998167
